,producer_name,product_name,description,vintage_full_name,critic_score
0,Bouchard Pere et Fils,Montrachet Grand Cru,"The 2022 Montrachet Grand Cru is striking, exhibiting even more texture and power than the benchmark 2020 vintage did at the same stage. Wafting from the glass with aromas of pear, hazelnuts, white flowers, buttery pastry and confit orange, it's full-bodied, rich and layered, with incredible mid-palate volume and intensity. Large-scaled, textural and mouthfilling, it concludes with a long, expansive finish.",,RP (95-97)
1,Bouchard Pere et Fils,Chevalier-Montrachet La Cabotte Grand Cru,"If this year's regular Chevalier could be mistaken for La Cabotte in a blind tasting, so the 2022 Chevalier-Montrachet La Cabotte Grand Cru might be mistaken for a Montrachet. Offering up youthfully reductive aromas of pear and peach mingled with hazelnuts, white flowers and orange oil, it's full-bodied, layered and multidimensional, with broad structural shoulders and an unctuous core of fruit, concluding with a long, saline finish.",,RP (95-97)
2,Bouchard Pere et Fils,Bonnes-Mares Grand Cru,"Bouchard's valedictory 2022 Bonnes-Mares Grand Cru is a brilliant wine in the making, wafting from the glass with aromas of raspberries and plums mingled with rose petals, violets and orange zest. Medium to full-bodied, deep and layered, it's elegantly muscular, with a cool core of fruit, polished tannins and a long, mineral finish.",,RP (95-97)
3,Bouchard Pere et Fils,Chambertin Clos de Bèze Grand Cru,"The 2022 Chambertin Clos de Bèze Grand Cru is another valedictory cuvée for Bouchard, who has been producing this bottling, from a 0.47-hectare parcel just below the tree line, for many years. Wafting from the glass with aromas of cherries, dark berries, incense and spices, it's full-bodied, rich and layered, with a broad attack that segues into a deep, enveloping palate, concluding with a long, expansive finish.",,RP (95-97)
4,Bouchard Pere et Fils,Chambertin Grand Cru,"The 2022 Chambertin Grand Cru, from a plot at the top of the slope touching Latricières, will be Bouchard's last. This is always one of the most ethereal renditions of this site, and this vintage is no exception. Wafting from the glass are scents of red berries, sweet spices, blood orange, potpourri and baking chocolate, followed by a medium to full-bodied, fine-boned and melting palate that's pure, sensual and seamless, with bright acids and a mouthwateringly saline finish.",,RP (95-97)
5,Bouchard Pere et Fils,Chevalier-Montrachet Grand Cru,"The 2022 Chevalier-Montrachet Grand Cru is unusually textural and muscular for this bottling, delivering aromas of pear, yellow orchard fruit, buttery pastry, white flowers and freshly baked bread, followed by a medium to full-bodied, deep and layered palate that's rich and unctuous, with terrific depth at the core and a long, resonant finish.",,RP (95-97)
6,Bouchard Pere et Fils,Le Corton Grand Cru,"The 2022 Le Corton Grand Cru is another highlight of the range, mingling aromas of sweet cherries, berries and plums in a complex bouquet, followed by a medium to full-bodied, deep and layered palate that's dense and structured but beautifully refined, concluding with a long, penetrating finish.",,RP (95-97)
7,Bouchard Pere et Fils,Corton-Charlemagne Grand Cru,"Aromas of pear, green apple, white flowers and wet stones introduce the 2022 Corton-Charlemagne Grand Cru, a deep, medium to full-bodied wine that's taut, chiseled and racy, with excellent depth at the core and an abundance of chalky structuring extract. As usual, it derives from the domaine's holdings on the Ladoix side.",,RP (95-97)
8,Bouchard Pere et Fils,Gevrey-Chambertin 1er Cru Les Cazetiers,"Bouchard's valedictory 2022 Gevrey-Chambertin 1er Cru Les Cazetiers is beautiful, wafting from the glass with notes of raspberries, cherries, plums, incense, rose petals and violets. Medium to full-bodied, satiny and pure, with terrific depth at the core, refined tannins and lively acids, it's suave and harmonious, concluding with a long, penetrating finish.",,RP (95-97)
9,Bouchard Pere et Fils,Echézeaux Grand Cru,"Aromas of raspberries, orange zest, petals, spices and smoke introduce the 2022 Echézeaux Grand Cru, a medium to full-bodied, satiny and enveloping wine that's grand, seamless and charming, with good depth at the core, polished tannins and lively acids, concluding with a saline finish.",,RP (95-97)
