,producer_name,product_name,description,vintage_full_name,critic_score
0,Screaming Eagle,Screaming Eagle,"Medium to deep garnet-purple colored, the 2018 Screaming Eagle soars out of the glass with vibrant notions of ripe blackberries, black cherries and fresh red and black currants plus wafts of licorice, candied violets, cedar chest and clove oil with a beguiling touch of sea spray. Medium-bodied with jaw-dropping elegance, the palate is finely textured and yet built like a brick house with a super taut backbone and exquisitely knit acidity. The intense black and red fruit flavors are accented by layers of mineral and floral notions, finishing with incredible length and depth. Undeniably stunning.",,RP 100
1,Screaming Eagle,The Flight,"Medium to deep garnet-purple colored, the 2018 The Flight drifts sensuously out of the glass with the most gorgeous perfume of red roses, kirsch, black raspberries and fresh blackcurrants followed by hints of iron ore, tilled soil, lavender and star anise plus a touch of powdered cinnamon. Medium to full-bodied, the palate has a fantastically chiseled structure of ripe, grainy tannins and bold freshness supporting the black fruit and floral layers, finishing with bags of minerals.",,RP 100
2,Screaming Eagle,Sauvignon Blanc,"The 2017 Sauvignon Blanc is 100% Sauvignon Blanc, coming from a small section of estate vines closer to the Napa river. It is entirely fermented in French oak, but only about 5% is new. The grapes are pressed straight to barrels and kept on their gross lees. The wine is fermented using native yeasts. This vintage, the nose is not at all shy—it comes bounding out of the glass with exuberant scents of ripe peaches, passion fruit and musk perfume plus wafts of honeycomb, elderflower, ripe gooseberries and lemongrass with a waft of Bosc pears. The palate is super intense and yet ethereally weighted, light-bodied and oh-so-fine, elegant and refreshing, featuring a whole array of  chalk and sea spray sparks, creating a shimmer to all the many citrus and stone fruit layers, finishing with great length and energy. There is a truly interesting phenolic texture to the palate that reminds me of some Chardonnays, particularly Burgundian examples. Winemaker Nick Gislason commented that the gross lees contain a lot of phenolic content, which is where the wine picks up that textural component. Love it!",,RP 100
3,Screaming Eagle,Screaming Eagle,"The 2016 Screaming Eagle is, as usual, mainly Cabernet Sauvignon with a little Merlot and Cabernet Franc. Deep garnet-purple colored, it leaps from the glass with bright, exuberant blackberries, kirsch and warm blackcurrants scents plus touches of lavender, roses, tilled black loam, wild sage and dark chocolate with wafts of yeast extract, underbrush and crushed rocks. Medium to full-bodied, firm and fine grained, with amazing freshness, it is layered with crunchy black and red fruits, sparked by floral and mineral notions and finishing with epic length and depth.",,RP 100
4,Screaming Eagle,The Flight,"Composed roughly of two-thirds Merlot with 5% Cabernet Franc and the rest Cabernet Sauvignon, the medium to deep colored 2016 The Flight opens with bold, expressive notions of wild blueberries, warm plums and boysenberries with touches of black raspberries, spice cake, violets, dark chocolate and potpourri with a hint of menthol. Full-bodied, rich, spicy and jam-packed with energy, it has beautifully plush tannins texturing the multilayered blue and black fruits, delivering a very long, perfumed finish.",,RP 100
5,Screaming Eagle,Sauvignon Blanc,"The 2016 Sauvignon Blanc comes from two acres that were harvested in two passes this year. It has a very subtle nose of honeysuckle, peach blossoms and lemongrass giving way to exponentially growing scents of lime cordial, pineapple pastry and jasmine with wafts of fresh ginger and coriander seed. Medium to full-bodied with a seductively satiny texture and layer upon layer of citrus and tropical flavors, it delivers a gorgeous backbone of freshness and a very long, perfumed, finish. A style built for ageing, I can see this developing over 5-10 years into a richer, honeyed toast and preserved peaches style, and therefore, it may warrant a higher score in years to come.",,RP 100
6,Screaming Eagle,Screaming Eagle,"Medium to deep garnet colored, the 2007 Screaming Eagle opens with a dazzlingly beautiful fragrance of red roses, violets and lavender over a core of red currant jelly, kirsch, cassis and black raspberry layers plus blueberry preserves and stewed tea accents and a waft of cigar box. Medium to full-bodied, the tannins are firm yet wonderfully plush with a great intensity of perfumed red and blue fruits that are at once intense and ethereal, finishing on a lingering mineral note. This 2007 truly shows the personality of Screaming Eagle at its best. It is approachable now, still possessing plenty of primary fruit with those tertiary layers beginning to unfurl and therefore it cannot fail to impress even at this youthful stage. However, give it another 5-7 years to really get the full dividends of careful cellaring.",,RP 100
7,Screaming Eagle,Screaming Eagle,"Composed of 76% Cabernet Sauvignon, 20% Merlot and 4% Cabernet Franc, the very deep purple-black colored 2015 Screaming Eagle leaps from the glass with notes of freshly crushed black currants, black cherries and blackberries with suggestions of cigar box, black raspberries, red currants, chocolates, pencil lead and cast-iron pan plus a touch of potpourri. Medium to full-bodied with a rock-solid backbone of ripe, grainy tannins and oodles of freshness, it features the most incredible black and red fruit layers and finishes with incredible vibrancy and depth.",,RP 100
8,Screaming Eagle,The Flight,"Very deep purple-black, the 2015 The Flight (a blend of 61% Merlot, 2% Cabernet Franc and 37% Cabernet Sauvignon) opens with electric notes of black and blue fruit sparks—wild blueberries, fresh blackberries and crushed black plums—with nuances of lavender, violets, pencil shavings, tilled soil, yeast extract and a waft of cinnamon stick. Medium to full-bodied, it hits the palate with tons of energy and freshness supported by firm, finely grained tannins, finishing with tons of fragrant earth layers.",,RP 100
9,Screaming Eagle,Second Flight,"Very deep purple-black, the 2014 Second Flight (composed of 57% Merlot and 43% Cabernet Sauvignon with no Cabernet Franc) is a little closed at this youthful stage, offering glimpses of blueberry compote, blackberry pie and cassis notions with touches of garrigue, bay leaves, black truffles, rose hips and underbrush plus a hint of wood smoke. Medium-bodied, the palate delivers wonderful freshness, with very firm, very finely grained tannins and layers of vibrant black fruits, finishing on a profound minerally note. With this vintage, we can see something of a stylistic departure, offering an expression of Merlot that is bright, refreshing, elegant and perfumed, and it is perhaps more similar to Screaming Eagle in terms of style than it has ever been. Beautiful!",,RP 100
10,Screaming Eagle,Second Flight,"Very deep garnet-purple colored, the 2013 Second Flight simply sings of spiced blueberries, black forest cake and preserved plums with suggestions of star anise, baker’s chocolate, fertile loam and dried Provence herbs with a hint of lavender. Big, concentrated, full-bodied and packed to the gills with black fruits, exotic spice and floral layers, it has a firm frame of grainy tannins and just enough freshness, finishing with epic length and loads of layers. Still very taut, it needs at least another 2-3 years in bottle. Interestingly, this full-on hedonistic vintage has one of the largest Merlot contributions ever for this wine: 65% Merlot with 13% Cabernet Sauvignon and 22% Cabernet Franc.",,RP 100
11,Screaming Eagle,Second Flight,"Composed of 43% Merlot, 48% Cabernet Sauvignon and 9% Cabernet Franc and with a very deep garnet-purple color, the 2012 Second Flight has an enticingly savory nose with notes of smoked meats, yeast extract, tapenade and truffles over a core of crème de cassis and plum preserves plus a touch of Indian spices. Full-bodied, rich and concentrated in the mouth, it has firm, velvety tannins and plenty of background freshness supporting the generous fruit, finishing long and spicy.",,RP 100
12,Screaming Eagle,Second Flight,"Deep garnet colored, the 2011 Second Flight (a blend of 54% Merlot, 42% Cabernet Sauvignon and 4% Cabernet Franc) offers up a gorgeous perfume of wilted roses and violets over a core of blackberry tart, raspberry preserves and kirsch with subtle baking spices and garrigue notions. Medium to full-bodied with a solid frame of grainy tannins and just enough freshness, it has wonderfully perfumed layers and an exotic spice-laced finish. It has a surprising amount of weight and concentration for this cool, rainy vintage. Winemaker Nick Gislason informed me that the last pick was on November 1 this year—which is extremely late! But this later harvest clearly paid off when you consider how ripe the tannins are on this beauty.",,RP 100
13,Screaming Eagle,Second Flight,"Composed of 26% Merlot, 61% Cabernet Sauvignon and 13% Cabernet Franc, this is the first vintage made by Nick Gislason. Deep garnet in color, the 2010 Second Flight delivers slowly evolving notions of baked plums, crème de cassis and mocha with hints of unsmoked cigars, cedar chest and beef dripping plus a waft of sandalwood. Full-bodied and packed with rich, savory-laced black fruit preserves, the palate features velvety tannins and seamless freshness, finishing very long. Drinking beautifully now but should keep for 15+ years.",,RP 100
14,Screaming Eagle,Screaming Eagle,"The 2014 Screaming Eagle is an 880-case blend of 79% Cabernet Sauvignon, 16% Merlot and the rest Cabernet Franc. The telltale sign of this iconic wine is its extraordinary purity of crème de cassis fruit, which is displayed abundantly in the 2014. It doesn’t quite have the structure and mass of the 2013, but this sexy, up-front, opaque ruby/purple-colored wine is seamlessly constructed, full-bodied, and has a long finish with silky tannins. This seems to float across that palate with that great fruit purity that is a characteristic of Screaming Eagle. Drink it over the next 25+ years.",,RP 100
