,producer_name,product_name,description,vintage_full_name,critic_score
0,Chateau La Conseillante,La Conseillante,"One of the great wines of the vintage, and one that can rival its 2022 counterpart, the 2023 La Conseillante wafts from the glass with a strikingly floral bouquet of violets, lilac, raspberries, exotic spices, candied orange, pipe tobacco and rose petals. Medium to full-bodied, supple and fleshy, its textural attack segues into a layered and enveloping core of pure, vibrant fruit framed by sweet tannins and concluding with a long, precise finish. It's a blend of 88% Merlot and 12% Cabernet Franc, some 30% of which is maturing in amphorae. Harvest began on September 7, lasting until October 2, block by block.",,RP (98-100)
1,Chateau La Conseillante,La Conseillante,"The 2021 La Conseillante unwinds in the glass with aromas of black raspberries and mulberries mingled with vine smoke, rose petals and spices, framed by a discreet touch of new oak. This is medium to full-bodied, suave and enveloping, with a velvety attack that segues into a layered, multidimensional palate that's framed by ultra-refined tannins and animated by ripe acids. Long and perfumed, this has turned out beautifully. It was bottled in June, seeing three rackings and a very light egg-white fining during élevage.",,RP (98-100)
2,Chateau La Conseillante,Duo de Conseillante,"The 2021 Duo de Conseillante is showing nicely, offering up aromas of raspberries and cherries, framed by a glossy sheen of new oak, followed by a medium-bodied, ample and enveloping palate that's suave, polished and charming. Give it a couple of years to integrate its élevage and then enjoy it without hesitation.",,RP (98-100)
3,Chateau La Conseillante,La Conseillante,"Served blind from magnum, I failed to identify the vintage of the 1945 La Conseillante by several decades, such was its youthful appearance. Offering up aromas of dark berries, truffles, vine smoke and iris, it's medium to full-bodied, deep and concentrated, with a tightly wound core framed by chalky tannins and a finish that's long and savory.",,RP (98-100)
4,Chateau La Conseillante,La Conseillante,"The 2022 La Conseillante is a remarkable wine that has the potential to emerge as one of the wines of the vintage. A blend of 87% Merlot and 13% Cabernet Franc, it unfurls in the glass with deep aromas of black raspberries and mulberries mingled with notions of rose petals, violets, orange zest and mint. Medium to full-bodied, deep and layered, it's velvety and enveloping, with a textural attack that segues into a multidimensional mid-palate that's framed by sweet, powdery tannins, concluding with a long, saline finish. Checking in at a very healthy pH of 3.65 and 14% alcohol, it is a beautifully supple, suave wine that retains all this estate's signature elegance but in a slightly deeper-pitched and broader-shouldered format than the profound 2020. Congratulations to winemaker Marielle Cazaux, consulting enologist Thomas Duclos, the Nicolas family led by Jean-Valmy, and all the team at La Conseillante who have firmly established this estate at the very top of Pomerol's qualitative hierarchy in recent vintages.",,RP (98-100)
5,Chateau La Conseillante,La Conseillante,"One of the wines of the vintage is the 2020 La Conseillante, a blend of 86% Merlot and 14% Cabernet Franc that wafts from the glass with inviting aromas of raspberries, red cherries and mulberries mingled with exotic spices, violets and rose petals. Medium to full-bodied, satiny and vibrant, it's a beautifully elegant, sensual wine with a deep core of fruit framed by powdery tannins, concluding with a long, extravagantly floral finish. This is a Pomerol of striking purity and sophistication. Congratulations to Marielle Cazaux and her team for surpassing even what they achieved in 2016 and 2019 with this brilliant 2020!",,RP (98-100)
6,Chateau La Conseillante,La Conseillante,"One of the most sensual, viscerally appealing wines of the vintage is the 1982 La Conseillante, a medium to full-bodied, fleshy and enveloping Pomerol that wafts from the glass with aromas of minty blackberries, raspberry liqueur, black truffle, sweet soils tones and spices. Supple and expansive, with melting tannins and a long, perfumed finish, it's one of my favorite 1982 Bordeaux today.",,RP (98-100)
7,Chateau La Conseillante,La Conseillante,"Drunk at home, the 1947 La Conseillante is a striking wine. Wafting from the glass with captivating aromas of sweet berries, pipe tobacco, red fruit preserves, vine smoke, black truffle and subtle hints of balsamic vinegar that show the vintage's signature, it's full-bodied, ample and enveloping, with a fleshy, textural attack and a layered, succulent mid-palate framed by melted tannins and mouthwatering acids. Concluding with a long, sapid finish, it's an irresistibly sensual Pomerol.",,RP (98-100)
8,Chateau La Conseillante,La Conseillante,"The 2019 La Conseillante is performing brilliantly and rivals the 2016 as Marielle Cazaux's finest vintage at this leading Pomerol estate to date. Wafting from the glass with striking aromas of raspberries, plums, violets, raw cocoa, sweet soil tones and licorice, framed by a deftly integrated touch of classy new oak, it's full-bodied, ample and enveloping, its broad attack segueing into a seamless, layered mid-palate that's vibrant and concentrated, framed by powdery tannins and lively acids, before concluding with a long, saline finish.",,RP (98-100)
9,Chateau La Conseillante,La Conseillante,"The 2018 La Conseillante is composed of 83% Merlot and 17% Cabernet Franc, with a 3.65 pH and 14% alcohol. Deep garnet-purple colored, it needs a lot of swirling and coaxing to lure out the youthfully shy, incredible perfume of black raspberries, boysenberries, ripe plums and cinnamon toast, leading to notions of lilacs, clove oil and forest floor, plus a waft of iron ore. The medium to full-bodied palate is a jaw-dropping exercise in finesse, slowly unfurling in the mouth to reveal layer upon layer of bright, crunchy red and black fruits, supported by a rock-solid frame of firm, fine-grained tannins and tons of freshness, finishing long and with an impressive mineral and exotic spice firework display. It's an incredible expression of Pomerol that cannot fail to inspire a resounding ""WOW"" from whoever is fortunate to drink it. Tempting to broach now (albeit with a lot of air), try to keep your hands off it for a good 5 years and then drink it over the next 30 years or more.",,RP (98-100)
